Date,TSLA
2011-03-09,0.24301035254074255
2011-03-10,-2.9142015381550865
2011-03-11,0.24958089501039168
2011-03-14,-3.4661326045737497
2011-03-15,-1.2987183462619665
2011-03-16,-0.5680806149927315
2011-03-17,-0.04378845005600627
2011-03-18,0.6554527677710091
2011-03-21,-1.0068299690991198
2011-03-22,-2.404391439183217
2011-03-23,0.09013189345864045
2011-03-24,0.5388437644491392
2011-03-25,1.8634073385056467
2011-03-28,2.173973055408609
2011-03-29,2.8410010414257494
2011-03-30,-0.8817988774266141
2011-03-31,15.733873017026559
2011-04-01,-4.007171396858026
2011-04-04,-3.1627530342151267
2011-04-05,3.31269405638384
2011-04-06,-0.7896227688402283
2011-04-07,2.7919151234255866
2011-04-08,-2.7919151234255835
2011-04-11,-4.71492075849825
2011-04-12,-2.484144183380142
